2025-07-24 06:13:25,479 | INFO | [bingx] ✅ BingX WebSocket 已连接 → wss://open-api-ws.bingx.com/market
2025-07-24 06:13:25,479 | INFO | [bingx] WebSocket 已连接
2025-07-24 06:13:25,479 | INFO | [bingx] 📨 已订阅: BTC-USDT@depth20
2025-07-24 06:13:25,546 | INFO | [bingx] 📨 已订阅: ETH-USDT@depth20
2025-07-24 06:13:25,602 | INFO | [bingx] 📨 已订阅: SOL-USDT@depth20
2025-07-24 06:13:25,674 | INFO | [bingx] 📨 已订阅: XRP-USDT@depth20
2025-07-24 06:13:25,812 | INFO | [bingx] 📨 已订阅: LTC-USDT@depth20
2025-07-24 06:20:13,384 | ERROR | [bingx] 接收循环异常: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-07-24 06:20:13,880 | ERROR | [bingx] 异常: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-07-24 06:20:13,880 | INFO | [bingx] WebSocket 已断开
2025-07-24 06:20:17,971 | INFO | [bingx] ✅ BingX WebSocket 已连接 → wss://open-api-ws.bingx.com/market
2025-07-24 06:20:17,971 | INFO | [bingx] WebSocket 已连接
2025-07-24 06:20:17,972 | INFO | [bingx] 📨 已订阅: BTC-USDT@depth20
2025-07-24 06:20:18,530 | INFO | [bingx] 📨 已订阅: ETH-USDT@depth20
2025-07-24 06:20:19,113 | INFO | [bingx] 📨 已订阅: SOL-USDT@depth20
2025-07-24 06:20:19,514 | INFO | [bingx] 📨 已订阅: XRP-USDT@depth20
2025-07-24 06:20:19,565 | INFO | [bingx] 📨 已订阅: LTC-USDT@depth20
2025-07-24 07:59:52,049 | ERROR | [bingx] 接收循环异常: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-07-24 07:59:52,109 | ERROR | [bingx] 异常: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-07-24 07:59:52,110 | INFO | [bingx] WebSocket 已断开
2025-07-24 08:01:52,046 | ERROR | [bingx] 异常: timed out during opening handshake
2025-07-24 08:01:52,046 | INFO | [bingx] WebSocket 已断开
2025-07-24 08:01:53,332 | INFO | [bingx] ✅ BingX WebSocket 已连接 → wss://open-api-ws.bingx.com/market
2025-07-24 08:01:53,332 | INFO | [bingx] WebSocket 已连接
2025-07-24 08:01:53,332 | INFO | [bingx] 📨 已订阅: BTC-USDT@depth20
2025-07-24 08:01:53,396 | INFO | [bingx] 📨 已订阅: ETH-USDT@depth20
2025-07-24 08:01:53,447 | INFO | [bingx] 📨 已订阅: SOL-USDT@depth20
2025-07-24 08:01:53,498 | INFO | [bingx] 📨 已订阅: XRP-USDT@depth20
2025-07-24 08:01:53,549 | INFO | [bingx] 📨 已订阅: LTC-USDT@depth20
2025-07-24 09:23:52,122 | ERROR | [bingx] 接收循环异常: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-07-24 09:23:52,212 | ERROR | [bingx] 异常: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-07-24 09:23:52,212 | INFO | [bingx] WebSocket 已断开
2025-07-24 09:25:52,098 | ERROR | [bingx] 异常: timed out during opening handshake
2025-07-24 09:25:52,098 | INFO | [bingx] WebSocket 已断开
2025-07-24 09:27:52,109 | ERROR | [bingx] 异常: timed out during opening handshake
2025-07-24 09:27:52,109 | INFO | [bingx] WebSocket 已断开
2025-07-24 09:29:52,173 | ERROR | [bingx] 异常: timed out during opening handshake
2025-07-24 09:29:52,173 | INFO | [bingx] WebSocket 已断开
2025-07-24 09:31:52,158 | ERROR | [bingx] 异常: timed out during opening handshake
2025-07-24 09:31:52,158 | INFO | [bingx] WebSocket 已断开
2025-07-24 09:33:52,125 | ERROR | [bingx] 异常: timed out during opening handshake
2025-07-24 09:33:52,125 | INFO | [bingx] WebSocket 已断开
2025-07-24 09:35:52,132 | ERROR | [bingx] 异常: timed out during opening handshake
2025-07-24 09:35:52,132 | INFO | [bingx] WebSocket 已断开
2025-07-24 09:36:52,155 | ERROR | [bingx] 超过最大重连次数, 终止
