2025-07-24 06:13:26,164 | INFO | [bitmart] ✅ BitMart WebSocket 已连接 → wss://openapi-ws-v2.bitmart.com/api?protocol=1.1
2025-07-24 06:13:26,164 | INFO | [bitmart] WebSocket 已连接
2025-07-24 06:13:26,165 | INFO | [bitmart] 📨 已发送订阅请求: {'action': 'subscribe', 'args': ['futures/ticker:BTCUSDT', 'futures/ticker:ETHUSDT', 'futures/ticker:SOLUSDT', 'futures/ticker:XRPUSDT', 'futures/ticker:LTCUSDT']}
2025-07-24 06:13:26,170 | INFO | [bitmart] 🔁 发送心跳: ping
2025-07-24 06:13:34,171 | INFO | [bitmart] 🔁 发送心跳: ping
2025-07-24 06:13:42,172 | INFO | [bitmart] 🔁 发送心跳: ping
2025-07-24 06:13:50,173 | INFO | [bitmart] 🔁 发送心跳: ping
2025-07-24 06:13:58,190 | INFO | [bitmart] 🔁 发送心跳: ping
2025-07-24 06:14:06,192 | INFO | [bitmart] 🔁 发送心跳: ping
2025-07-24 06:14:14,193 | INFO | [bitmart] 🔁 发送心跳: ping
2025-07-24 06:14:23,314 | INFO | [bitmart] 🔁 发送心跳: ping
2025-07-24 06:14:31,315 | INFO | [bitmart] 🔁 发送心跳: ping
2025-07-24 06:14:39,315 | INFO | [bitmart] 🔁 发送心跳: ping
2025-07-24 06:14:47,316 | INFO | [bitmart] 🔁 发送心跳: ping
2025-07-24 06:14:55,325 | INFO | [bitmart] 🔁 发送心跳: ping
2025-07-24 06:15:03,326 | INFO | [bitmart] 🔁 发送心跳: ping
2025-07-24 06:15:11,327 | INFO | [bitmart] 🔁 发送心跳: ping
2025-07-24 06:15:19,327 | INFO | [bitmart] 🔁 发送心跳: ping
2025-07-24 06:15:27,328 | INFO | [bitmart] 🔁 发送心跳: ping
2025-07-24 06:15:35,329 | INFO | [bitmart] 🔁 发送心跳: ping
2025-07-24 06:15:43,330 | INFO | [bitmart] 🔁 发送心跳: ping
2025-07-24 06:15:51,330 | INFO | [bitmart] 🔁 发送心跳: ping
2025-07-24 06:15:59,331 | INFO | [bitmart] 🔁 发送心跳: ping
2025-07-24 06:16:07,332 | INFO | [bitmart] 🔁 发送心跳: ping
