2025-07-24 06:13:26,791 | INFO | [krakenfutures] ✅ krakenfutures WebSocket 已连接 → wss://futures.kraken.com/ws/v1
2025-07-24 06:13:26,791 | INFO | [krakenfutures] WebSocket 已连接
2025-07-24 06:13:26,791 | INFO | [krakenfutures] 📨 Kraken Futures 已订阅: ['PI_XBTUSD', 'PI_ETHUSD', 'PI_SOLUSD', 'PI_XRPUSD', 'PI_LTCUSD']
2025-07-24 06:13:26,791 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'info', 'version': 1}
2025-07-24 06:13:26,792 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:13:26,960 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'subscribed', 'feed': 'ticker', 'product_ids': ['PI_XBTUSD']}
2025-07-24 06:13:26,960 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'subscribed', 'feed': 'ticker', 'product_ids': ['PI_ETHUSD']}
2025-07-24 06:13:26,960 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'subscribed', 'feed': 'ticker', 'product_ids': ['PI_SOLUSD']}
2025-07-24 06:13:26,960 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'subscribed', 'feed': 'ticker', 'product_ids': ['PI_XRPUSD']}
2025-07-24 06:13:26,960 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'subscribed', 'feed': 'ticker', 'product_ids': ['PI_LTCUSD']}
2025-07-24 06:13:26,960 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'subscribed', 'feed': 'heartbeat'}
2025-07-24 06:13:29,599 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753337609572}
2025-07-24 06:13:36,793 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:13:36,961 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:13:39,610 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753337619572}
2025-07-24 06:13:46,800 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:13:46,967 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:13:49,599 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753337629572}
2025-07-24 06:13:56,801 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:13:56,969 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:13:59,603 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753337639572}
2025-07-24 06:14:06,803 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:14:06,970 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:14:09,609 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753337649572}
2025-07-24 06:14:16,803 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:14:16,971 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:14:19,600 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753337659572}
2025-07-24 06:14:26,804 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:14:26,971 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:14:29,599 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753337669572}
2025-07-24 06:14:36,806 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:14:36,973 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:14:39,599 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753337679572}
2025-07-24 06:14:46,807 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
