2025-07-24 06:13:26,384 | INFO | [okx] ✅ OKX WebSocket 已连接 → wss://ws.okx.com:8443/ws/v5/public
2025-07-24 06:13:26,384 | INFO | [okx] WebSocket 已连接
2025-07-24 06:13:26,384 | INFO | [okx] 📨 已订阅: ['BTC-USDT', 'ETH-USDT', 'SOL-USDT', 'XRP-USDT', 'LTC-USDT']
2025-07-24 06:13:26,585 | DEBUG | [okx] ❗️ 未处理的消息: {'event': 'subscribe', 'arg': {'channel': 'tickers', 'instId': 'BTC-USDT'}, 'connId': '532a7fbd'}
2025-07-24 06:13:26,585 | DEBUG | [okx] ❗️ 未处理的消息: {'event': 'subscribe', 'arg': {'channel': 'tickers', 'instId': 'ETH-USDT'}, 'connId': '532a7fbd'}
2025-07-24 06:13:26,586 | DEBUG | [okx] ❗️ 未处理的消息: {'event': 'subscribe', 'arg': {'channel': 'tickers', 'instId': 'SOL-USDT'}, 'connId': '532a7fbd'}
2025-07-24 06:13:26,586 | DEBUG | [okx] ❗️ 未处理的消息: {'event': 'subscribe', 'arg': {'channel': 'tickers', 'instId': 'XRP-USDT'}, 'connId': '532a7fbd'}
2025-07-24 06:13:26,586 | DEBUG | [okx] ❗️ 未处理的消息: {'event': 'subscribe', 'arg': {'channel': 'tickers', 'instId': 'LTC-USDT'}, 'connId': '532a7fbd'}
2025-07-24 07:59:52,139 | ERROR | [okx] 接收循环异常: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-07-24 08:00:52,066 | ERROR | [okx] 异常: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-07-24 08:00:52,066 | INFO | [okx] WebSocket 已断开
2025-07-24 08:01:52,510 | INFO | [okx] ✅ OKX WebSocket 已连接 → wss://ws.okx.com:8443/ws/v5/public
2025-07-24 08:01:52,511 | INFO | [okx] WebSocket 已连接
2025-07-24 08:01:52,511 | INFO | [okx] 📨 已订阅: ['BTC-USDT', 'ETH-USDT', 'SOL-USDT', 'XRP-USDT', 'LTC-USDT']
2025-07-24 08:01:52,712 | DEBUG | [okx] ❗️ 未处理的消息: {'event': 'subscribe', 'arg': {'channel': 'tickers', 'instId': 'BTC-USDT'}, 'connId': 'a7d34012'}
2025-07-24 08:01:52,712 | DEBUG | [okx] ❗️ 未处理的消息: {'event': 'subscribe', 'arg': {'channel': 'tickers', 'instId': 'ETH-USDT'}, 'connId': 'a7d34012'}
2025-07-24 08:01:52,712 | DEBUG | [okx] ❗️ 未处理的消息: {'event': 'subscribe', 'arg': {'channel': 'tickers', 'instId': 'SOL-USDT'}, 'connId': 'a7d34012'}
2025-07-24 08:01:52,712 | DEBUG | [okx] ❗️ 未处理的消息: {'event': 'subscribe', 'arg': {'channel': 'tickers', 'instId': 'XRP-USDT'}, 'connId': 'a7d34012'}
2025-07-24 08:01:52,712 | DEBUG | [okx] ❗️ 未处理的消息: {'event': 'subscribe', 'arg': {'channel': 'tickers', 'instId': 'LTC-USDT'}, 'connId': 'a7d34012'}
2025-07-24 09:23:52,122 | ERROR | [okx] 接收循环异常: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-07-24 09:23:52,212 | ERROR | [okx] 异常: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-07-24 09:23:52,212 | INFO | [okx] WebSocket 已断开
2025-07-24 09:25:52,097 | ERROR | [okx] 异常: timed out during opening handshake
2025-07-24 09:25:52,097 | INFO | [okx] WebSocket 已断开
2025-07-24 09:27:52,107 | ERROR | [okx] 异常: timed out during opening handshake
2025-07-24 09:27:52,108 | INFO | [okx] WebSocket 已断开
2025-07-24 09:29:52,172 | ERROR | [okx] 异常: timed out during opening handshake
2025-07-24 09:29:52,173 | INFO | [okx] WebSocket 已断开
2025-07-24 09:31:52,157 | ERROR | [okx] 异常: timed out during opening handshake
2025-07-24 09:31:52,157 | INFO | [okx] WebSocket 已断开
2025-07-24 09:33:52,124 | ERROR | [okx] 异常: timed out during opening handshake
2025-07-24 09:33:52,124 | INFO | [okx] WebSocket 已断开
2025-07-24 09:35:52,132 | ERROR | [okx] 异常: timed out during opening handshake
2025-07-24 09:35:52,132 | INFO | [okx] WebSocket 已断开
2025-07-24 09:37:52,125 | ERROR | [okx] 异常: timed out during opening handshake
2025-07-24 09:37:52,125 | INFO | [okx] WebSocket 已断开
2025-07-24 09:39:52,134 | ERROR | [okx] 异常: timed out during opening handshake
2025-07-24 09:39:52,134 | INFO | [okx] WebSocket 已断开
2025-07-24 09:40:52,128 | ERROR | [okx] 超过最大重连次数, 终止
