2025-07-24 06:13:26,468 | INFO | [oxfun] ✅ OX.FUN WebSocket 已连接 → wss://api.ox.fun/v2/websocket
2025-07-24 06:13:26,468 | INFO | [oxfun] WebSocket 已连接
2025-07-24 06:13:26,468 | INFO | [oxfun] 📨 已订阅: depth → BTC-USD-SWAP-LIN
2025-07-24 06:13:26,670 | INFO | [oxfun] 📨 已订阅: depth → ETH-USD-SWAP-LIN
2025-07-24 06:13:26,870 | INFO | [oxfun] 📨 已订阅: depth → SOL-USD-SWAP-LIN
2025-07-24 06:13:27,071 | INFO | [oxfun] 📨 已订阅: depth → XRP-USD-SWAP-LIN
2025-07-24 06:13:27,272 | INFO | [oxfun] 📨 已订阅: depth → LTC-USD-SWAP-LIN
2025-07-24 06:13:27,474 | DEBUG | [oxfun] ❗️ 未处理的消息: {'event': 'Welcome', 'nonce': '6cfff613', 'timestamp': '1753337606485'}
2025-07-24 06:13:27,474 | DEBUG | [oxfun] ❗️ 未处理的消息: {'success': True, 'event': 'subscribe', 'channel': 'depth:BTC-USD-SWAP-LIN', 'timestamp': '1753337606561'}
2025-07-24 06:13:27,474 | DEBUG | [oxfun] ❗️ 未处理的消息: {'success': True, 'event': 'subscribe', 'channel': 'depth:ETH-USD-SWAP-LIN', 'timestamp': '1753337606763'}
2025-07-24 06:13:27,475 | DEBUG | [oxfun] ❗️ 未处理的消息: {'success': True, 'event': 'subscribe', 'channel': 'depth:SOL-USD-SWAP-LIN', 'timestamp': '1753337606964'}
2025-07-24 06:13:27,475 | DEBUG | [oxfun] ❗️ 未处理的消息: {'success': True, 'event': 'subscribe', 'channel': 'depth:XRP-USD-SWAP-LIN', 'timestamp': '1753337607164'}
2025-07-24 06:13:27,476 | DEBUG | [oxfun] ❗️ 未处理的消息: {'success': True, 'event': 'subscribe', 'channel': 'depth:LTC-USD-SWAP-LIN', 'timestamp': '1753337607367'}
2025-07-24 08:01:52,052 | ERROR | [oxfun] 接收循环异常: no close frame received or sent
2025-07-24 08:01:52,052 | ERROR | [oxfun] 异常: no close frame received or sent
2025-07-24 08:01:52,052 | INFO | [oxfun] WebSocket 已断开
2025-07-24 08:01:53,670 | INFO | [oxfun] ✅ OX.FUN WebSocket 已连接 → wss://api.ox.fun/v2/websocket
2025-07-24 08:01:53,670 | INFO | [oxfun] WebSocket 已连接
