timestamp,symbol,bid,ask,bid_vol,ask_vol
2025-07-24T06:13:26.169336,BTC-USDT,117684.1,117684.13,1.071824,3.626587
2025-07-24T06:13:26.169613,ETH-USDT,3559.99,3560.01,0.0106,0.0077
2025-07-24T06:13:26.169665,XRP-USDT,3.072,3.0721,9.1,9.7
2025-07-24T06:13:26.169704,BTC-USDT,117684.3,117684.33,1.071824,3.626578
2025-07-24T06:13:26.169764,ETH-USDT,3560.04,3560.06,0.0078,0.0106
2025-07-24T06:13:26.169798,LTC-USDT,109.35,109.36,0.3545,0.1988
2025-07-24T06:13:26.240085,SOL-USDT,183.15,183.17,211.871,54.002
2025-07-24T06:13:26.240151,XRP-USDT,3.0714,3.0715,7.9,12.6
2025-07-24T06:13:26.259802,BTC-USDT,117684.1,117684.13,1.071824,3.626554
2025-07-24T06:13:26.259863,ETH-USDT,3560.27,3560.29,0.0031,0.0041
2025-07-24T06:13:26.478324,BTC-USDT,117684.75,117684.78,1.071824,3.626568
2025-07-24T06:13:26.493156,ETH-USDT,3560.18,3560.2,0.0065,0.0041
2025-07-24T06:13:26.555959,SOL-USDT,183.13,183.16,211.871,129.063
2025-07-24T06:13:26.577537,XRP-USDT,3.0712,3.0713,8.2,5.2
2025-07-24T06:13:26.792536,BTC-USDT,117684.84,117684.87,1.071824,3.626578
2025-07-24T06:13:26.813307,ETH-USDT,3560.09,3560.11,0.0071,0.0096
2025-07-24T06:13:26.842304,LTC-USDT,109.35,109.36,0.3545,0.1988
2025-07-24T06:13:26.909685,XRP-USDT,3.0712,3.0713,8.2,5.2
2025-07-24T06:13:27.082427,BTC-USDT,117684.84,117684.87,1.071824,3.626578
2025-07-24T06:13:27.097015,ETH-USDT,3560.09,3560.11,0.0078,0.0047
2025-07-24T06:13:27.120891,LTC-USDT,109.35,109.36,0.3545,0.1988
2025-07-24T06:13:27.377614,BTC-USDT,117684.85,117684.88,1.071824,3.626584
2025-07-24T06:13:27.408918,ETH-USDT,3560.02,3560.04,0.0099,0.0112
2025-07-24T06:13:27.454067,SOL-USDT,183.13,183.16,211.871,129.063
2025-07-24T06:13:27.471895,XRP-USDT,3.0712,3.0713,8.2,5.2
2025-07-24T06:13:27.692071,BTC-USDT,117684.42,117684.45,1.071824,3.626566
2025-07-24T06:13:27.706770,ETH-USDT,3560.01,3560.03,0.0093,0.0073
2025-07-24T06:13:27.735820,LTC-USDT,109.34,109.35,0.341,0.2111
2025-07-24T06:13:27.989300,BTC-USDT,117684.42,117684.45,1.071824,3.626566
2025-07-24T06:13:27.990855,ETH-USDT,3559.99,3560.01,0.0055,0.0108
2025-07-24T06:13:28.026852,LTC-USDT,109.33,109.34,0.1378,0.1604
2025-07-24T06:13:28.117654,SOL-USDT,183.11,183.14,118.874,549.383
2025-07-24T06:13:28.136170,XRP-USDT,3.0711,3.0712,4.0,9.1
2025-07-24T06:13:28.291970,BTC-USDT,117684.28,117684.31,1.071824,3.626552
2025-07-24T06:13:28.305960,ETH-USDT,3559.96,3559.98,0.0056,0.0076
2025-07-24T06:13:28.394640,XRP-USDT,3.0707,3.0708,12.3,9.7
2025-07-24T06:13:28.613696,ETH-USDT,3559.89,3559.91,0.0057,0.0034
2025-07-24T06:13:28.682517,XRP-USDT,3.07,3.0701,9.4,7.7
2025-07-24T06:13:28.927468,LTC-USDT,109.33,109.34,0.1378,0.1604
2025-07-24T06:13:28.960989,SOL-USDT,183.11,183.14,118.874,549.383
2025-07-24T06:13:29.186818,BTC-USDT,117684.28,117684.31,0.181958,4.508399
2025-07-24T06:13:29.208560,ETH-USDT,3559.84,3559.86,0.008,0.0093
2025-07-24T06:13:29.233572,LTC-USDT,109.31,109.32,0.1795,0.3077
2025-07-24T06:13:29.516322,BTC-USDT,117684.27,117684.3,0.181958,4.507646
2025-07-24T06:13:29.533711,ETH-USDT,3559.84,3559.86,0.0099,0.0079
2025-07-24T06:13:29.609524,SOL-USDT,183.1,183.13,118.874,249.3
2025-07-24T06:13:29.618639,XRP-USDT,3.0701,3.0703,5.7,8.7
2025-07-24T06:13:29.789670,BTC-USDT,117684.27,117684.3,0.181958,4.507646
2025-07-24T06:13:29.811929,ETH-USDT,3559.8,3559.82,0.0086,0.011
2025-07-24T06:13:29.870799,SOL-USDT,183.1,183.13,118.874,249.3
2025-07-24T06:13:29.881977,XRP-USDT,3.0701,3.0703,5.7,8.7
2025-07-24T06:13:30.105995,ETH-USDT,3559.79,3559.81,0.0092,0.0028
2025-07-24T06:13:30.138707,LTC-USDT,109.31,109.32,0.1795,0.3077
2025-07-24T06:13:30.175763,SOL-USDT,183.1,183.13,118.874,249.3
2025-07-24T06:13:30.406549,BTC-USDT,117684.28,117684.31,0.181958,4.508399
2025-07-24T06:13:30.429765,ETH-USDT,3559.79,3559.81,0.0101,0.0085
2025-07-24T06:13:30.711897,BTC-USDT,117684.27,117684.3,0.181958,4.507646
2025-07-24T06:13:30.726408,ETH-USDT,3559.76,3559.78,0.0036,0.0102
2025-07-24T06:13:30.751914,LTC-USDT,109.31,109.32,0.1795,0.3077
2025-07-24T06:13:30.779097,SOL-USDT,183.1,183.13,118.874,249.3
2025-07-24T06:13:30.815557,XRP-USDT,3.0701,3.0703,5.7,8.7
2025-07-24T06:13:31.000536,BTC-USDT,117683.87,117683.9,0.181958,4.508393
2025-07-24T06:13:31.069650,ETH-USDT,3559.31,3559.33,0.005,0.005
2025-07-24T06:13:31.139665,SOL-USDT,183.08,183.11,118.874,584.799
2025-07-24T06:13:31.164453,XRP-USDT,3.0697,3.0699,6.6,12.4
2025-07-24T06:13:31.307600,BTC-USDT,117683.25,117683.28,0.181958,4.508393
2025-07-24T06:13:31.330283,ETH-USDT,3559.27,3559.29,0.0055,0.0028
2025-07-24T06:13:31.388713,XRP-USDT,3.0693,3.0694,11.4,4.4
