timestamp,symbol,bid,ask,bid_vol,ask_vol
2025-07-25T08:37:44.145561,ETH-USDT,3652.34,3653.29,2.0,1.0
2025-07-25T08:37:44.145585,SOL-USDT,177.81,178.0,62.0,23.0
2025-07-25T08:37:44.145596,XRP-USDT,3.0829,3.0852,16.0,16.0
2025-07-25T08:37:44.145606,LTC-USDT,111.32,111.39,2.0,3.0
2025-07-25T08:37:44.154027,ETH-USDT,3652.35,3653.29,2.0,1.0
2025-07-25T08:37:44.156987,ETH-USDT,3652.35,3653.28,2.0,1.0
2025-07-25T08:37:44.172740,ETH-USDT,3652.54,3653.28,2.0,1.0
2025-07-25T08:37:44.178078,ETH-USDT,3652.35,3653.28,2.0,1.0
2025-07-25T08:37:44.178671,ETH-USDT,3652.35,3653.27,2.0,1.0
2025-07-25T08:37:44.184278,ETH-USDT,3652.54,3653.27,2.0,1.0
2025-07-25T08:37:44.195600,ETH-USDT,3651.75,3653.27,2.0,1.0
2025-07-25T08:37:44.195612,ETH-USDT,3651.94,3653.27,2.0,1.0
2025-07-25T08:37:44.207426,ETH-USDT,3651.95,3653.27,2.0,1.0
2025-07-25T08:37:44.211202,ETH-USDT,3652.14,3653.27,2.0,1.0
2025-07-25T08:37:44.212177,ETH-USDT,3652.14,3653.26,2.0,1.0
2025-07-25T08:37:44.223207,ETH-USDT,3652.15,3653.26,2.0,1.0
2025-07-25T08:37:44.227493,ETH-USDT,3652.15,3653.25,2.0,1.0
2025-07-25T08:37:44.234116,ETH-USDT,3652.34,3653.25,2.0,1.0
2025-07-25T08:37:44.321225,ETH-USDT,3652.34,3653.24,2.0,1.0
2025-07-25T08:37:44.321239,ETH-USDT,3652.35,3653.24,2.0,1.0
2025-07-25T08:37:44.321248,ETH-USDT,3652.54,3653.24,2.0,1.0
2025-07-25T08:37:44.321254,ETH-USDT,3651.75,3653.24,2.0,1.0
2025-07-25T08:37:44.321543,ETH-USDT,3651.75,3653.23,2.0,1.0
2025-07-25T08:37:44.321553,ETH-USDT,3651.94,3653.23,2.0,1.0
2025-07-25T08:37:44.321558,ETH-USDT,3651.95,3653.23,2.0,1.0
2025-07-25T08:37:44.321562,ETH-USDT,3651.95,3653.22,2.0,1.0
2025-07-25T08:37:44.321567,ETH-USDT,3652.14,3653.22,2.0,1.0
2025-07-25T08:37:44.321572,ETH-USDT,3652.15,3653.22,2.0,1.0
2025-07-25T08:37:44.321577,ETH-USDT,3652.34,3653.22,2.0,1.0
2025-07-25T08:37:44.321581,ETH-USDT,3652.34,3653.21,2.0,1.0
2025-07-25T08:37:44.327248,ETH-USDT,3652.35,3653.21,2.0,1.0
2025-07-25T08:37:44.327260,ETH-USDT,3652.35,3653.2,2.0,1.0
2025-07-25T08:37:44.328424,ETH-USDT,3652.54,3653.2,2.0,1.0
2025-07-25T08:37:44.344261,XRP-USDT,3.0829,3.0852,16.0,10.0
2025-07-25T08:37:44.344271,XRP-USDT,3.0829,3.0851,16.0,6.0
2025-07-25T08:37:44.344275,ETH-USDT,3652.35,3653.2,2.0,1.0
2025-07-25T08:37:44.344280,XRP-USDT,3.0829,3.0851,10.0,6.0
2025-07-25T08:37:44.344284,ETH-USDT,3652.54,3653.2,2.0,1.0
2025-07-25T08:37:44.344289,ETH-USDT,3652.54,3653.19,2.0,1.0
2025-07-25T08:37:44.344294,ETH-USDT,3651.56,3653.19,8.0,1.0
2025-07-25T08:37:44.351747,ETH-USDT,3651.75,3653.19,2.0,1.0
2025-07-25T08:37:44.356534,ETH-USDT,3651.75,3653.18,2.0,1.0
2025-07-25T08:37:44.372611,ETH-USDT,3651.76,3653.18,2.0,1.0
2025-07-25T08:37:44.372624,ETH-USDT,3651.76,3653.17,2.0,1.0
2025-07-25T08:37:44.372631,ETH-USDT,3651.95,3653.17,2.0,1.0
2025-07-25T08:37:44.383529,ETH-USDT,3651.96,3653.17,2.0,1.0
2025-07-25T08:37:44.387936,ETH-USDT,3651.96,3653.16,2.0,1.0
2025-07-25T08:37:44.388321,ETH-USDT,3652.15,3653.16,2.0,1.0
2025-07-25T08:37:44.400846,ETH-USDT,3652.16,3653.16,2.0,1.0
2025-07-25T08:37:44.408432,ETH-USDT,3652.35,3653.16,2.0,1.0
2025-07-25T08:37:44.408443,ETH-USDT,3652.35,3653.16,29.0,1.0
2025-07-25T08:37:44.411552,ETH-USDT,3652.35,3653.16,27.0,1.0
2025-07-25T08:37:44.411563,ETH-USDT,3652.54,3653.16,2.0,1.0
2025-07-25T08:37:44.423675,ETH-USDT,3652.36,3653.16,11.0,1.0
2025-07-25T08:37:44.427407,ETH-USDT,3652.55,3653.16,2.0,1.0
2025-07-25T08:37:44.434322,ETH-USDT,3652.55,3653.16,4.0,1.0
2025-07-25T08:37:44.434333,ETH-USDT,3652.74,3653.16,2.0,1.0
2025-07-25T08:37:44.450278,ETH-USDT,3652.36,3653.16,9.0,1.0
2025-07-25T08:37:44.452821,ETH-USDT,3652.36,3652.97,9.0,2.0
2025-07-25T08:37:44.457015,ETH-USDT,3652.36,3653.58,9.0,2.0
2025-07-25T08:37:44.494903,ETH-USDT,3652.37,3653.58,2.0,2.0
2025-07-25T08:37:44.494919,ETH-USDT,3652.37,3653.57,2.0,1.0
2025-07-25T08:37:44.497315,LTC-USDT,111.32,111.39,10.0,3.0
2025-07-25T08:37:44.502377,LTC-USDT,111.33,111.39,2.0,3.0
2025-07-25T08:37:44.510369,ETH-USDT,3652.37,3653.55,2.0,9.0
2025-07-25T08:37:44.513235,ETH-USDT,3652.37,3653.55,2.0,20.0
2025-07-25T08:37:44.513247,ETH-USDT,3652.37,3653.55,2.0,29.0
2025-07-25T08:37:44.513254,ETH-USDT,3652.37,3653.55,2.0,40.0
2025-07-25T08:37:44.513512,ETH-USDT,3652.37,3653.55,2.0,49.0
2025-07-25T08:37:44.514480,ETH-USDT,3652.37,3653.54,2.0,1.0
2025-07-25T08:37:44.579004,ETH-USDT,3652.37,3653.35,2.0,1.0
2025-07-25T08:37:44.581590,ETH-USDT,3652.37,3653.34,2.0,1.0
2025-07-25T08:37:44.643892,ETH-USDT,3652.56,3653.34,2.0,1.0
2025-07-25T08:37:44.649329,ETH-USDT,3652.56,3653.33,2.0,1.0
2025-07-25T08:37:44.649350,ETH-USDT,3652.37,3653.33,2.0,1.0
2025-07-25T08:37:44.654835,ETH-USDT,3652.36,3653.33,9.0,1.0
2025-07-25T08:37:44.656418,ETH-USDT,3652.56,3653.33,2.0,1.0
2025-07-25T08:37:44.661025,ETH-USDT,3652.56,3653.32,2.0,1.0
2025-07-25T08:37:44.661750,ETH-USDT,3652.55,3653.32,2.0,1.0
2025-07-25T08:37:44.663723,XRP-USDT,3.0829,3.0851,16.0,6.0
