timestamp,symbol,bid,ask,bid_vol,ask_vol
2025-07-25T08:16:26.684831,1INCH-USDT,0.2729,0.2731,718.636746,188.707258
2025-07-25T08:16:26.684871,A-USDT,0.5588,0.5591,509.56,203.66
2025-07-25T08:16:26.684901,AAVE-USDT,287.12,287.16,0.89,0.3
2025-07-25T08:16:26.684925,ACH-USDT,0.0216,0.02162,327.01,462.52
2025-07-25T08:16:26.684943,ACE-USDT,0.5611,0.5614,27.6466,338.9896
2025-07-25T08:16:26.684960,ACT-USDT,0.044,0.04404,2708.771,13515.521
2025-07-25T08:16:26.684980,ADA-USDT,0.7975,0.7977,8515.3418,970.1826
2025-07-25T08:16:26.684999,AIXBT-USDT,0.13955,0.13961,1023.338,2490.0
2025-07-25T08:16:26.685021,AGLD-USDT,0.7684,0.7692,11.003968,10.696612
2025-07-25T08:16:26.685054,AEVO-USDT,0.10442,0.10449,179.0,63.0536
2025-07-25T08:16:26.685100,ALGO-USDT,0.2575,0.2577,3849.594493,4056.065064
2025-07-25T08:16:26.685132,ANIME-USDT,0.01863,0.01864,2778.46,7678.08
2025-07-25T08:16:26.685834,ADA-USDT,0.7976,0.7977,1029.2262,672.9272
2025-07-25T08:16:26.685870,AAVE-USDT,287.13,287.16,0.81,0.3
2025-07-25T08:16:26.685897,ACE-USDT,0.5608,0.5614,77.6466,338.9896
2025-07-25T08:16:26.694558,ACT-USDT,0.044,0.04404,3526.956,13515.521
2025-07-25T08:16:26.754587,ALGO-USDT,0.2575,0.2577,8035.194663,4056.065064
2025-07-25T08:16:26.754666,ADA-USDT,0.7976,0.7977,129.2262,1502.7446
2025-07-25T08:16:26.812396,ACT-USDT,0.044,0.04404,2708.771,13515.521
2025-07-25T08:16:26.868863,ADA-USDT,0.7975,0.7977,8593.5192,1581.2922
2025-07-25T08:16:26.880965,ALGO-USDT,0.2575,0.2577,7535.194663,4056.065064
2025-07-25T08:16:26.890488,AAVE-USDT,287.12,287.16,0.08,1.11
2025-07-25T08:16:26.988854,AAVE-USDT,287.12,287.16,0.89,0.3
2025-07-25T08:16:26.992040,ADA-USDT,0.7975,0.7977,5216.5837,1581.2922
2025-07-25T08:16:27.237282,ADA-USDT,0.7975,0.7977,5597.5837,1581.2922
2025-07-25T08:16:27.244292,AAVE-USDT,287.15,287.16,0.34294,0.3
2025-07-25T08:16:27.245083,AGLD-USDT,0.7684,0.769,11.003968,455.0
2025-07-25T08:16:27.362328,AAVE-USDT,287.12,287.16,0.08,1.11
2025-07-25T08:16:27.374866,ADA-USDT,0.7975,0.7977,4970.7118,1581.2922
2025-07-25T08:16:27.476443,A-USDT,0.5588,0.5591,509.56,125.36
2025-07-25T08:16:27.487923,AAVE-USDT,287.12,287.16,0.08,0.3
2025-07-25T08:16:27.489770,1INCH-USDT,0.2729,0.2731,718.636746,26.707258
2025-07-25T08:16:27.491908,ALGO-USDT,0.2576,0.2577,3685.60017,2285.096236
2025-07-25T08:16:27.494880,ADA-USDT,0.7976,0.7977,900.0,681.2922
2025-07-25T08:16:27.555174,AEVO-USDT,0.10443,0.10449,441.0,63.0536
2025-07-25T08:16:27.555211,ACT-USDT,0.044,0.04404,3526.956,13515.521
2025-07-25T08:16:27.555235,ANIME-USDT,0.01863,0.01864,16408.32,7678.08
2025-07-25T08:16:27.587160,ALGO-USDT,0.2576,0.2577,3685.60017,1055.096236
2025-07-25T08:16:27.590876,AAVE-USDT,287.13,287.16,0.895291,0.3
2025-07-25T08:16:27.653958,ADA-USDT,0.7976,0.7977,1332.5911,78.5476
2025-07-25T08:16:27.748196,AAVE-USDT,287.15,287.16,0.34294,0.3
2025-07-25T08:16:27.750730,ADA-USDT,0.7976,0.7978,3202.421,1042.6402
2025-07-25T08:16:27.885027,AAVE-USDT,287.14,287.16,0.34294,0.3
2025-07-25T08:16:27.903956,ADA-USDT,0.7976,0.7977,1909.431,602.7446
2025-07-25T08:16:27.998903,ACT-USDT,0.044,0.04404,2708.771,13515.521
2025-07-25T08:16:27.998950,ADA-USDT,0.7975,0.7976,12252.0364,904.1169
2025-07-25T08:16:28.149934,ADA-USDT,0.7975,0.7976,8496.9647,904.1169
2025-07-25T08:16:28.200733,ANIME-USDT,0.01863,0.01864,2778.46,7678.08
2025-07-25T08:16:28.263778,ADA-USDT,0.7975,0.7976,8875.9647,904.1169
2025-07-25T08:16:28.470922,AAVE-USDT,287.15,287.16,0.81,0.3
2025-07-25T08:16:28.591629,AAVE-USDT,287.15,287.16,0.34294,0.3
2025-07-25T08:16:28.598260,ADA-USDT,0.7975,0.7977,8875.9647,1607.4866
2025-07-25T08:16:28.756012,ADA-USDT,0.7975,0.7977,12550.859,1607.4866
2025-07-25T08:16:28.874086,ADA-USDT,0.7976,0.7977,1332.4068,104.742
2025-07-25T08:16:28.994433,ADA-USDT,0.7975,0.7976,12550.8647,306.5818
2025-07-25T08:16:29.093596,AAVE-USDT,287.15,287.16,1.15294,0.3
2025-07-25T08:16:29.094150,ADA-USDT,0.7976,0.7977,4322.4353,602.7446
2025-07-25T08:16:29.097229,ANIME-USDT,0.01863,0.01864,16408.32,4900.36
2025-07-25T08:16:29.154172,ACE-USDT,0.5608,0.5614,79.1641,338.9896
2025-07-25T08:16:29.157682,A-USDT,0.5589,0.5591,121.5,125.36
2025-07-25T08:16:29.204192,AAVE-USDT,287.15,287.16,0.34294,0.3
2025-07-25T08:16:29.204239,ACT-USDT,0.044,0.04404,3526.956,13515.521
2025-07-25T08:16:29.204266,ANIME-USDT,0.01863,0.01864,16408.32,1210.36
2025-07-25T08:16:29.207403,ADA-USDT,0.7976,0.7978,6703.7437,1027.6402
2025-07-25T08:16:29.300603,1INCH-USDT,0.273,0.2731,162.0,26.707258
2025-07-25T08:16:29.301848,A-USDT,0.5589,0.5592,246.86,700.0
2025-07-25T08:16:29.304917,ADA-USDT,0.7977,0.7978,900.0,24.6465
2025-07-25T08:16:29.332720,AAVE-USDT,287.15,287.16,0.34294,0.3
2025-07-25T08:16:29.395013,AEVO-USDT,0.10448,0.10457,179.0,544.5516
2025-07-25T08:16:29.401889,ADA-USDT,0.7977,0.7978,10904.8885,24.6465
2025-07-25T08:16:29.405637,A-USDT,0.559,0.5593,125.36,860.69
2025-07-25T08:16:29.406878,AIXBT-USDT,0.13959,0.13966,1023.338,1376.403
2025-07-25T08:16:29.448602,AAVE-USDT,287.15,287.16,1.15294,0.3
2025-07-25T08:16:29.460230,AGLD-USDT,0.7686,0.7694,11.078905,67.0
2025-07-25T08:16:29.502628,AEVO-USDT,0.10448,0.10457,620.0,544.5516
2025-07-25T08:16:29.549754,AGLD-USDT,0.7688,0.7695,11.074583,11.074583
