timestamp,exchange,bid,ask,bid_vol,ask_vol
2025-07-25T07:28:32.652025,bitrue,177.56,177.59,105.01,114.717
2025-07-25T07:28:32.652064,bitrue,177.52,177.59,116.643,114.717
2025-07-25T07:28:32.751289,huobi,177.6109,177.611,1.582,3.0
2025-07-25T07:28:32.751448,huobi,177.5109,177.6031,1.408,1.455
2025-07-25T07:28:32.839433,huobi,177.5512,177.6031,5.13,1.455
2025-07-25T07:28:32.943520,huobi,177.5158,177.5942,3.68,1.511
2025-07-25T07:28:33.037467,huobi,177.5331,177.5761,5.13,1.53
2025-07-25T07:28:33.237060,huobi,177.5709,177.5761,1.489,1.53
2025-07-25T07:28:33.441451,huobi,177.5709,177.6189,1.489,3.68
2025-07-25T07:28:33.451625,bitrue,177.56,177.59,105.01,92.953
2025-07-25T07:28:33.540100,huobi,177.5709,177.6189,1.489,8.81
2025-07-25T07:28:33.638251,huobi,177.5709,177.5813,1.489,1.538
2025-07-25T07:28:34.499069,bitrue,177.53,177.59,94.029,92.953
2025-07-25T07:28:35.740744,huobi,177.5285,177.5696,5.527,1.536
2025-07-25T07:28:35.838743,huobi,177.529,177.5696,5.13,1.536
2025-07-25T07:28:36.038008,huobi,177.5616,177.5696,1.58,1.536
2025-07-25T07:28:36.642661,bitrue,177.53,177.56,94.029,92.897
2025-07-25T07:28:37.838188,huobi,177.5618,177.5696,5.13,1.536
2025-07-25T07:28:38.640465,huobi,177.57,177.6287,5.13,3.68
2025-07-25T07:28:38.737921,huobi,177.5444,177.6287,5.13,8.81
2025-07-25T07:28:38.836655,huobi,177.5545,177.6287,5.13,8.81
2025-07-25T07:28:38.938717,huobi,177.5798,177.5889,1.467,1.576
2025-07-25T07:28:39.775611,bitrue,177.53,177.59,94.029,108.343
2025-07-25T07:28:39.837450,huobi,177.5343,177.5841,5.13,1.521
2025-07-25T07:28:39.938178,huobi,177.5413,177.5841,3.68,1.521
2025-07-25T07:28:40.038013,huobi,177.5414,177.5841,5.13,1.521
2025-07-25T07:28:40.137198,huobi,177.5439,177.5841,5.13,1.521
2025-07-25T07:28:40.352255,huobi,177.5522,177.5841,5.13,1.521
2025-07-25T07:28:40.438120,huobi,177.5771,177.5841,1.557,1.521
2025-07-25T07:28:41.037609,huobi,177.5771,177.6287,1.557,8.81
2025-07-25T07:28:41.237367,huobi,177.5771,177.5876,1.557,1.586
2025-07-25T07:28:41.340061,huobi,177.5864,177.6287,1.499,8.81
2025-07-25T07:28:41.637576,huobi,177.5864,177.5966,1.499,1.441
2025-07-25T07:28:44.139704,huobi,177.5415,177.5822,3.68,1.441
2025-07-25T07:28:44.237853,huobi,177.549,177.6287,5.13,8.81
2025-07-25T07:28:44.340571,huobi,177.5638,177.6287,5.13,8.81
2025-07-25T07:28:44.438162,huobi,177.5898,177.6287,1.54,8.81
2025-07-25T07:28:44.539905,huobi,177.5638,177.5941,5.13,1.564
2025-07-25T07:28:44.738253,huobi,177.5851,177.5941,1.494,1.564
2025-07-25T07:28:44.937733,huobi,177.5917,177.6252,1.493,0.168
2025-07-25T07:28:45.139047,huobi,177.5919,177.6252,5.13,0.168
2025-07-25T07:28:45.239486,huobi,177.6018,177.6355,1.49,0.5
2025-07-25T07:28:45.337331,huobi,177.6018,177.6354,1.49,5.944
2025-07-25T07:28:45.463727,huobi,177.5082,177.6058,3.0,6.578
2025-07-25T07:28:45.541475,huobi,177.5248,177.5879,5.13,1.531
2025-07-25T07:28:45.639876,huobi,177.5308,177.5798,5.13,1.499
2025-07-25T07:28:45.740273,huobi,177.5308,177.5871,5.13,5.527
2025-07-25T07:28:45.841727,huobi,177.5874,177.6304,1.599,8.81
2025-07-25T07:28:45.940985,huobi,177.5874,177.5941,1.599,1.47
2025-07-25T07:28:46.047596,bitrue,177.55,177.6,102.673,108.931
2025-07-25T07:28:46.438727,huobi,177.5924,177.6263,1.575,0.168
2025-07-25T07:28:46.738763,huobi,177.5924,177.6001,1.575,1.46
2025-07-25T07:28:47.110515,bitrue,177.55,177.6,102.673,108.931
2025-07-25T07:28:48.082835,huobi,177.5974,177.6354,1.546,5.944
2025-07-25T07:28:48.138309,huobi,177.5974,177.6355,1.546,0.5
2025-07-25T07:28:48.241970,huobi,177.5974,177.6355,1.546,5.63
2025-07-25T07:28:48.337518,huobi,177.5974,177.6053,1.546,1.514
2025-07-25T07:28:48.838051,huobi,177.5974,177.6351,1.546,3.68
2025-07-25T07:28:48.937332,huobi,177.5976,177.6351,5.13,3.68
2025-07-25T07:28:49.137169,huobi,177.5974,177.613,1.546,1.49
2025-07-25T07:28:49.236710,huobi,177.5981,177.613,5.13,1.49
2025-07-25T07:28:49.337003,huobi,177.5981,177.6355,5.13,0.5
2025-07-25T07:28:49.438255,huobi,177.6151,177.6355,1.513,0.5
2025-07-25T07:28:49.640448,huobi,177.6154,177.6228,5.13,1.572
2025-07-25T07:28:50.142075,huobi,177.623,177.6355,5.13,0.5
2025-07-25T07:28:50.242429,huobi,177.6226,177.6629,1.569,2.814
2025-07-25T07:28:50.257629,bitrue,177.58,177.62,134.068,103.302
2025-07-25T07:28:50.337613,huobi,177.6289,177.6629,1.558,2.814
2025-07-25T07:28:50.439358,huobi,177.6289,177.6352,1.558,1.55
2025-07-25T07:28:50.685696,huobi,177.6072,177.6352,0.168,1.55
2025-07-25T07:28:50.938259,huobi,177.6246,177.6352,5.13,1.55
2025-07-25T07:28:51.307678,bitrue,177.58,177.62,134.068,103.302
2025-07-25T07:28:51.939004,huobi,177.6242,177.6352,1.592,1.55
